"year","variable","value"
1908,"Uusikaupunki",2
1909,"Uusikaupunki",2
1910,"Uusikaupunki",2
1911,"Uusikaupunki",2
1912,"Uusikaupunki",2
1913,"Uusikaupunki",2
1914,"Uusikaupunki",2
1915,"Uusikaupunki",2
1916,"Uusikaupunki",2
1917,"Uusikaupunki",2
1918,"Uusikaupunki",2
1919,"Uusikaupunki",2
1920,"Uusikaupunki",2
1920,"Hyvinkää",1
1860,"Pori",1
1861,"Pori",1
1862,"Pori",1
1863,"Pori",1
1864,"Pori",1
1873,"Pori",1
1874,"Pori",1
1875,"Pori",1
1876,"Pori",1
1877,"Pori",2
1878,"Pori",2
1879,"Pori",2
1880,"Pori",1
1881,"Pori",1
1882,"Pori",1
1883,"Pori",1
1884,"Pori",1
1885,"Pori",1
1886,"Pori",2
1887,"Pori",2
1888,"Pori",2
1889,"Pori",2
1890,"Pori",2
1891,"Pori",2
1892,"Pori",3
1893,"Pori",2
1894,"Pori",3
1895,"Pori",3
1896,"Pori",3
1897,"Pori",2
1898,"Pori",2
1899,"Pori",2
1900,"Pori",2
1901,"Pori",2
1902,"Pori",2
1903,"Pori",2
1904,"Pori",2
1905,"Pori",2
1906,"Pori",4
1907,"Pori",4
1908,"Pori",4
1909,"Pori",4
1910,"Pori",4
1911,"Pori",4
1912,"Pori",4
1913,"Pori",3
1914,"Pori",3
1915,"Pori",3
1916,"Pori",3
1917,"Pori",4
1918,"Pori",2
1919,"Pori",3
1920,"Pori",3
1894,"Porvoo",1
1895,"Porvoo",1
1896,"Porvoo",1
1897,"Porvoo",1
1898,"Porvoo",1
1899,"Porvoo",1
1900,"Porvoo",1
1901,"Porvoo",1
1902,"Porvoo",1
1903,"Porvoo",1
1904,"Porvoo",1
1905,"Porvoo",1
1906,"Porvoo",2
1907,"Porvoo",2
1908,"Porvoo",2
1909,"Porvoo",2
1910,"Porvoo",2
1911,"Porvoo",2
1912,"Porvoo",2
1913,"Porvoo",2
1914,"Porvoo",2
1915,"Porvoo",2
1916,"Porvoo",2
1917,"Porvoo",1
1918,"Porvoo",2
1919,"Porvoo",1
1920,"Porvoo",1
1846,"Helsinki",1
1847,"Helsinki",2
1848,"Helsinki",2
1849,"Helsinki",2
1850,"Helsinki",1
1851,"Helsinki",1
1852,"Helsinki",1
1853,"Helsinki",1
1854,"Helsinki",1
1855,"Helsinki",1
1856,"Helsinki",2
1857,"Helsinki",2
1858,"Helsinki",2
1859,"Helsinki",2
1860,"Helsinki",2
1861,"Helsinki",2
1862,"Helsinki",3
1863,"Helsinki",5
1864,"Helsinki",4
1865,"Helsinki",3
1866,"Helsinki",2
1867,"Helsinki",1
1868,"Helsinki",1
1869,"Helsinki",2
1870,"Helsinki",3
1871,"Helsinki",3
1872,"Helsinki",3
1873,"Helsinki",2
1874,"Helsinki",3
1875,"Helsinki",3
1876,"Helsinki",3
1877,"Helsinki",2
1878,"Helsinki",2
1879,"Helsinki",2
1880,"Helsinki",2
1881,"Helsinki",4
1882,"Helsinki",4
1883,"Helsinki",3
1884,"Helsinki",3
1885,"Helsinki",2
1886,"Helsinki",2
1887,"Helsinki",3
1888,"Helsinki",3
1889,"Helsinki",4
1890,"Helsinki",3
1891,"Helsinki",3
1892,"Helsinki",3
1893,"Helsinki",3
1894,"Helsinki",3
1895,"Helsinki",4
1896,"Helsinki",4
1897,"Helsinki",5
1898,"Helsinki",6
1899,"Helsinki",6
1900,"Helsinki",8
1901,"Helsinki",7
1902,"Helsinki",6
1903,"Helsinki",6
1904,"Helsinki",7
1905,"Helsinki",9
1906,"Helsinki",12
1907,"Helsinki",14
1908,"Helsinki",14
1909,"Helsinki",11
1910,"Helsinki",13
1911,"Helsinki",11
1912,"Helsinki",12
1913,"Helsinki",11
1914,"Helsinki",8
1915,"Helsinki",7
1916,"Helsinki",8
1917,"Helsinki",11
1918,"Helsinki",15
1919,"Helsinki",11
1920,"Helsinki",10
1890,"Heinola",1
1891,"Heinola",1
1892,"Heinola",1
1893,"Heinola",1
1894,"Heinola",1
1895,"Heinola",1
1896,"Heinola",1
1897,"Heinola",1
1898,"Heinola",1
1899,"Heinola",1
1900,"Heinola",1
1901,"Heinola",1
1904,"Heinola",1
1905,"Heinola",2
1906,"Heinola",2
1907,"Heinola",2
1908,"Heinola",1
1909,"Heinola",1
1910,"Heinola",1
1911,"Heinola",1
1912,"Heinola",3
1913,"Heinola",2
1914,"Heinola",2
1915,"Heinola",2
1916,"Heinola",2
1917,"Heinola",2
1918,"Heinola",3
1919,"Heinola",1
1920,"Heinola",1
1874,"Joensuu",1
1875,"Joensuu",1
1876,"Joensuu",1
1877,"Joensuu",1
1878,"Joensuu",1
1879,"Joensuu",1
1880,"Joensuu",1
1881,"Joensuu",1
1882,"Joensuu",1
1883,"Joensuu",1
1884,"Joensuu",1
1885,"Joensuu",1
1886,"Joensuu",1
1887,"Joensuu",1
1888,"Joensuu",1
1889,"Joensuu",1
1890,"Joensuu",1
1891,"Joensuu",1
1892,"Joensuu",1
1893,"Joensuu",1
1894,"Joensuu",1
1895,"Joensuu",1
1896,"Joensuu",1
1897,"Joensuu",1
1898,"Joensuu",1
1899,"Joensuu",2
1900,"Joensuu",2
1901,"Joensuu",2
1902,"Joensuu",2
1903,"Joensuu",2
1904,"Joensuu",2
1905,"Joensuu",2
1906,"Joensuu",3
1907,"Joensuu",2
1908,"Joensuu",2
1909,"Joensuu",2
1910,"Joensuu",2
1911,"Joensuu",2
1912,"Joensuu",2
1913,"Joensuu",2
1914,"Joensuu",2
1915,"Joensuu",2
1916,"Joensuu",2
1917,"Joensuu",2
1918,"Joensuu",4
1919,"Joensuu",4
1920,"Joensuu",4
1854,"Kuopio",1
1855,"Kuopio",1
1856,"Kuopio",1
1857,"Kuopio",1
1859,"Kuopio",1
1860,"Kuopio",1
1861,"Kuopio",1
1862,"Kuopio",1
1863,"Kuopio",1
1864,"Kuopio",1
1865,"Kuopio",1
1866,"Kuopio",1
1867,"Kuopio",1
1868,"Kuopio",1
1869,"Kuopio",1
1870,"Kuopio",1
1871,"Kuopio",1
1872,"Kuopio",1
1873,"Kuopio",1
1874,"Kuopio",1
1875,"Kuopio",1
1876,"Kuopio",1
1877,"Kuopio",1
1878,"Kuopio",2
1879,"Kuopio",2
1880,"Kuopio",3
1881,"Kuopio",3
1882,"Kuopio",3
1883,"Kuopio",2
1884,"Kuopio",2
1885,"Kuopio",2
1886,"Kuopio",2
1887,"Kuopio",2
1888,"Kuopio",3
1889,"Kuopio",2
1890,"Kuopio",2
1891,"Kuopio",5
1892,"Kuopio",2
1893,"Kuopio",2
1894,"Kuopio",2
1895,"Kuopio",2
1896,"Kuopio",2
1897,"Kuopio",2
1898,"Kuopio",2
1899,"Kuopio",2
1900,"Kuopio",2
1901,"Kuopio",3
1902,"Kuopio",2
1903,"Kuopio",3
1904,"Kuopio",2
1905,"Kuopio",2
1906,"Kuopio",4
1907,"Kuopio",5
1908,"Kuopio",4
1909,"Kuopio",5
1910,"Kuopio",4
1911,"Kuopio",5
1912,"Kuopio",5
1913,"Kuopio",4
1914,"Kuopio",4
1915,"Kuopio",3
1916,"Kuopio",4
1917,"Kuopio",5
1918,"Kuopio",7
1919,"Kuopio",10
1920,"Kuopio",10
1889,"Käkisalmi",1
1890,"Käkisalmi",1
1891,"Käkisalmi",1
1892,"Käkisalmi",1
1893,"Käkisalmi",1
1894,"Käkisalmi",1
1895,"Käkisalmi",1
1896,"Käkisalmi",2
1897,"Käkisalmi",2
1898,"Käkisalmi",2
1899,"Käkisalmi",2
1900,"Käkisalmi",2
1901,"Käkisalmi",2
1902,"Käkisalmi",1
1903,"Käkisalmi",1
1904,"Käkisalmi",1
1905,"Käkisalmi",1
1906,"Käkisalmi",2
1907,"Käkisalmi",2
1908,"Käkisalmi",2
1909,"Käkisalmi",2
1910,"Käkisalmi",2
1911,"Käkisalmi",2
1912,"Käkisalmi",2
1913,"Käkisalmi",2
1914,"Käkisalmi",2
1915,"Käkisalmi",2
1916,"Käkisalmi",2
1917,"Käkisalmi",1
1918,"Käkisalmi",1
1919,"Käkisalmi",1
1920,"Käkisalmi",1
1867,"Jyväskylä",1
1868,"Jyväskylä",1
1869,"Jyväskylä",1
1870,"Jyväskylä",1
1871,"Jyväskylä",1
1872,"Jyväskylä",1
1873,"Jyväskylä",1
1874,"Jyväskylä",1
1875,"Jyväskylä",1
1876,"Jyväskylä",1
1877,"Jyväskylä",2
1878,"Jyväskylä",2
1879,"Jyväskylä",2
1880,"Jyväskylä",2
1881,"Jyväskylä",2
1882,"Jyväskylä",2
1883,"Jyväskylä",1
1884,"Jyväskylä",1
1885,"Jyväskylä",1
1886,"Jyväskylä",1
1887,"Jyväskylä",1
1888,"Jyväskylä",2
1889,"Jyväskylä",2
1890,"Jyväskylä",2
1891,"Jyväskylä",2
1892,"Jyväskylä",2
1893,"Jyväskylä",2
1894,"Jyväskylä",2
1895,"Jyväskylä",2
1896,"Jyväskylä",2
1897,"Jyväskylä",2
1898,"Jyväskylä",2
1899,"Jyväskylä",2
1900,"Jyväskylä",2
1901,"Jyväskylä",2
1902,"Jyväskylä",2
1903,"Jyväskylä",2
1904,"Jyväskylä",2
1905,"Jyväskylä",2
1906,"Jyväskylä",3
1907,"Jyväskylä",4
1908,"Jyväskylä",5
1909,"Jyväskylä",3
1910,"Jyväskylä",4
1911,"Jyväskylä",4
1912,"Jyväskylä",4
1913,"Jyväskylä",4
1914,"Jyväskylä",3
1915,"Jyväskylä",3
1916,"Jyväskylä",3
1917,"Jyväskylä",5
1918,"Jyväskylä",3
1919,"Jyväskylä",3
1920,"Jyväskylä",3
1904,"Forssa",1
1905,"Forssa",1
1906,"Forssa",2
1907,"Forssa",3
1908,"Forssa",1
1909,"Forssa",1
1917,"Forssa",1
1918,"Forssa",1
1919,"Forssa",1
1920,"Forssa",1
1885,"Lappeenranta",1
1886,"Lappeenranta",1
1887,"Lappeenranta",1
1888,"Lappeenranta",1
1889,"Lappeenranta",1
1890,"Lappeenranta",1
1891,"Lappeenranta",1
1892,"Lappeenranta",1
1893,"Lappeenranta",1
1894,"Lappeenranta",2
1895,"Lappeenranta",2
1896,"Lappeenranta",2
1897,"Lappeenranta",2
1898,"Lappeenranta",2
1899,"Lappeenranta",1
1900,"Lappeenranta",1
1901,"Lappeenranta",1
1902,"Lappeenranta",1
1903,"Lappeenranta",1
1904,"Lappeenranta",1
1905,"Lappeenranta",1
1906,"Lappeenranta",2
1907,"Lappeenranta",3
1908,"Lappeenranta",3
1909,"Lappeenranta",3
1910,"Lappeenranta",3
1911,"Lappeenranta",3
1912,"Lappeenranta",3
1913,"Lappeenranta",3
1914,"Lappeenranta",4
1915,"Lappeenranta",3
1916,"Lappeenranta",3
1917,"Lappeenranta",4
1918,"Lappeenranta",3
1919,"Lappeenranta",2
1920,"Lappeenranta",2
1913,"Hanko",1
1914,"Hanko",2
1915,"Hanko",1
1916,"Hanko",1
1917,"Hanko",1
1918,"Hanko",1
1919,"Hanko",1
1920,"Hanko",1
1833,"Viipuri",1
1834,"Viipuri",1
1835,"Viipuri",1
1836,"Viipuri",1
1837,"Viipuri",1
1838,"Viipuri",1
1839,"Viipuri",1
1840,"Viipuri",1
1841,"Viipuri",1
1845,"Viipuri",1
1846,"Viipuri",1
1847,"Viipuri",1
1855,"Viipuri",1
1856,"Viipuri",1
1857,"Viipuri",1
1858,"Viipuri",1
1860,"Viipuri",1
1861,"Viipuri",1
1862,"Viipuri",1
1863,"Viipuri",1
1866,"Viipuri",1
1867,"Viipuri",1
1868,"Viipuri",1
1869,"Viipuri",1
1870,"Viipuri",1
1871,"Viipuri",1
1872,"Viipuri",2
1873,"Viipuri",1
1874,"Viipuri",2
1875,"Viipuri",1
1876,"Viipuri",1
1877,"Viipuri",1
1878,"Viipuri",1
1879,"Viipuri",1
1880,"Viipuri",1
1881,"Viipuri",1
1882,"Viipuri",1
1883,"Viipuri",1
1884,"Viipuri",2
1885,"Viipuri",2
1886,"Viipuri",2
1887,"Viipuri",3
1888,"Viipuri",3
1889,"Viipuri",1
1890,"Viipuri",1
1891,"Viipuri",1
1892,"Viipuri",1
1893,"Viipuri",2
1894,"Viipuri",2
1895,"Viipuri",2
1896,"Viipuri",2
1897,"Viipuri",2
1898,"Viipuri",2
1899,"Viipuri",2
1900,"Viipuri",2
1901,"Viipuri",3
1902,"Viipuri",2
1903,"Viipuri",3
1904,"Viipuri",4
1905,"Viipuri",5
1906,"Viipuri",5
1907,"Viipuri",4
1908,"Viipuri",5
1909,"Viipuri",5
1910,"Viipuri",5
1911,"Viipuri",5
1912,"Viipuri",6
1913,"Viipuri",6
1914,"Viipuri",6
1915,"Viipuri",7
1916,"Viipuri",7
1917,"Viipuri",7
1918,"Viipuri",8
1919,"Viipuri",5
1920,"Viipuri",4
1895,"Hämeenkyrö",2
1896,"Hämeenkyrö",1
1897,"Hämeenkyrö",1
1916,"Hämeenkyrö",1
1917,"Hämeenkyrö",1
1918,"Hämeenkyrö",1
1919,"Hämeenkyrö",1
1920,"Hämeenkyrö",1
1866,"Tampere",1
1867,"Tampere",1
1868,"Tampere",1
1869,"Tampere",1
1870,"Tampere",1
1871,"Tampere",1
1872,"Tampere",1
1873,"Tampere",1
1874,"Tampere",1
1875,"Tampere",1
1876,"Tampere",1
1877,"Tampere",1
1878,"Tampere",1
1879,"Tampere",2
1880,"Tampere",2
1881,"Tampere",3
1882,"Tampere",3
1883,"Tampere",3
1884,"Tampere",3
1885,"Tampere",3
1886,"Tampere",2
1887,"Tampere",2
1888,"Tampere",3
1889,"Tampere",3
1890,"Tampere",5
1891,"Tampere",4
1892,"Tampere",3
1893,"Tampere",3
1894,"Tampere",3
1895,"Tampere",3
1896,"Tampere",3
1897,"Tampere",3
1898,"Tampere",5
1899,"Tampere",5
1900,"Tampere",4
1901,"Tampere",3
1902,"Tampere",3
1903,"Tampere",3
1904,"Tampere",4
1905,"Tampere",4
1906,"Tampere",4
1907,"Tampere",4
1908,"Tampere",4
1909,"Tampere",4
1910,"Tampere",4
1911,"Tampere",5
1912,"Tampere",5
1913,"Tampere",4
1914,"Tampere",5
1915,"Tampere",4
1916,"Tampere",4
1917,"Tampere",4
1918,"Tampere",4
1919,"Tampere",4
1920,"Tampere",4
1889,"Hamina",1
1890,"Hamina",1
1891,"Hamina",1
1892,"Hamina",1
1893,"Hamina",1
1894,"Hamina",1
1895,"Hamina",1
1896,"Hamina",1
1897,"Hamina",1
1898,"Hamina",1
1899,"Hamina",2
1900,"Hamina",1
1901,"Hamina",1
1902,"Hamina",1
1903,"Hamina",1
1904,"Hamina",1
1905,"Hamina",1
1906,"Hamina",1
1907,"Hamina",3
1908,"Hamina",2
1909,"Hamina",2
1910,"Hamina",2
1911,"Hamina",2
1912,"Hamina",2
1913,"Hamina",2
1914,"Hamina",2
1915,"Hamina",2
1916,"Hamina",2
1917,"Hamina",2
1918,"Hamina",2
1919,"Hamina",2
1920,"Hamina",2
1820,"Turku",1
1821,"Turku",1
1822,"Turku",1
1823,"Turku",1
1824,"Turku",1
1825,"Turku",1
1826,"Turku",1
1827,"Turku",1
1828,"Turku",1
1829,"Turku",1
1830,"Turku",1
1831,"Turku",1
1850,"Turku",1
1851,"Turku",1
1852,"Turku",1
1853,"Turku",1
1854,"Turku",1
1855,"Turku",1
1856,"Turku",1
1857,"Turku",1
1858,"Turku",1
1859,"Turku",1
1860,"Turku",1
1861,"Turku",1
1862,"Turku",1
1863,"Turku",2
1864,"Turku",2
1865,"Turku",2
1866,"Turku",2
1867,"Turku",2
1868,"Turku",1
1869,"Turku",1
1870,"Turku",1
1871,"Turku",1
1872,"Turku",1
1873,"Turku",1
1874,"Turku",1
1875,"Turku",1
1876,"Turku",1
1877,"Turku",1
1878,"Turku",1
1879,"Turku",1
1880,"Turku",2
1881,"Turku",2
1882,"Turku",3
1883,"Turku",3
1884,"Turku",3
1885,"Turku",3
1886,"Turku",3
1887,"Turku",3
1888,"Turku",3
1889,"Turku",3
1890,"Turku",3
1891,"Turku",3
1892,"Turku",3
1893,"Turku",3
1894,"Turku",3
1895,"Turku",3
1896,"Turku",3
1897,"Turku",3
1898,"Turku",4
1899,"Turku",4
1900,"Turku",4
1901,"Turku",4
1902,"Turku",4
1903,"Turku",4
1904,"Turku",4
1905,"Turku",5
1906,"Turku",6
1907,"Turku",5
1908,"Turku",5
1909,"Turku",6
1910,"Turku",6
1911,"Turku",6
1912,"Turku",6
1913,"Turku",6
1914,"Turku",5
1915,"Turku",6
1916,"Turku",6
1917,"Turku",6
1918,"Turku",5
1919,"Turku",5
1920,"Turku",4
1882,"Kotka",1
1883,"Kotka",1
1884,"Kotka",1
1885,"Kotka",1
1886,"Kotka",1
1887,"Kotka",1
1888,"Kotka",1
1889,"Kotka",1
1890,"Kotka",1
1891,"Kotka",1
1892,"Kotka",1
1893,"Kotka",2
1894,"Kotka",1
1895,"Kotka",1
1896,"Kotka",1
1897,"Kotka",2
1898,"Kotka",2
1899,"Kotka",3
1900,"Kotka",3
1901,"Kotka",2
1902,"Kotka",3
1903,"Kotka",3
1904,"Kotka",2
1905,"Kotka",3
1906,"Kotka",4
1907,"Kotka",3
1908,"Kotka",3
1909,"Kotka",3
1910,"Kotka",3
1911,"Kotka",3
1912,"Kotka",3
1913,"Kotka",3
1914,"Kotka",3
1915,"Kotka",3
1916,"Kotka",3
1917,"Kotka",2
1918,"Kotka",3
1919,"Kotka",3
1920,"Kotka",3
1899,"Kajaani",1
1900,"Kajaani",1
1901,"Kajaani",1
1902,"Kajaani",1
1903,"Kajaani",1
1904,"Kajaani",1
1905,"Kajaani",2
1906,"Kajaani",2
1907,"Kajaani",2
1908,"Kajaani",2
1909,"Kajaani",2
1910,"Kajaani",2
1911,"Kajaani",2
1912,"Kajaani",2
1913,"Kajaani",2
1914,"Kajaani",2
1915,"Kajaani",2
1916,"Kajaani",3
1917,"Kajaani",3
1918,"Kajaani",3
1919,"Kajaani",5
1920,"Kajaani",5
1858,"Hämeenlinna",1
1859,"Hämeenlinna",1
1860,"Hämeenlinna",1
1861,"Hämeenlinna",1
1862,"Hämeenlinna",1
1863,"Hämeenlinna",1
1864,"Hämeenlinna",1
1865,"Hämeenlinna",1
1866,"Hämeenlinna",2
1867,"Hämeenlinna",1
1868,"Hämeenlinna",1
1869,"Hämeenlinna",1
1870,"Hämeenlinna",1
1871,"Hämeenlinna",1
1872,"Hämeenlinna",1
1873,"Hämeenlinna",1
1874,"Hämeenlinna",1
1875,"Hämeenlinna",1
1876,"Hämeenlinna",1
1877,"Hämeenlinna",1
1878,"Hämeenlinna",2
1879,"Hämeenlinna",2
1880,"Hämeenlinna",2
1881,"Hämeenlinna",2
1882,"Hämeenlinna",2
1883,"Hämeenlinna",2
1884,"Hämeenlinna",2
1885,"Hämeenlinna",2
1886,"Hämeenlinna",2
1887,"Hämeenlinna",2
1888,"Hämeenlinna",2
1889,"Hämeenlinna",2
1890,"Hämeenlinna",2
1891,"Hämeenlinna",2
1892,"Hämeenlinna",2
1893,"Hämeenlinna",2
1894,"Hämeenlinna",2
1895,"Hämeenlinna",2
1896,"Hämeenlinna",2
1897,"Hämeenlinna",2
1898,"Hämeenlinna",2
1899,"Hämeenlinna",2
1900,"Hämeenlinna",2
1901,"Hämeenlinna",2
1902,"Hämeenlinna",2
1903,"Hämeenlinna",2
1904,"Hämeenlinna",2
1905,"Hämeenlinna",2
1906,"Hämeenlinna",3
1907,"Hämeenlinna",3
1908,"Hämeenlinna",3
1909,"Hämeenlinna",3
1910,"Hämeenlinna",3
1911,"Hämeenlinna",3
1912,"Hämeenlinna",3
1913,"Hämeenlinna",3
1914,"Hämeenlinna",3
1915,"Hämeenlinna",3
1916,"Hämeenlinna",3
1917,"Hämeenlinna",3
1918,"Hämeenlinna",3
1919,"Hämeenlinna",4
1920,"Hämeenlinna",3
1900,"Lahti",1
1901,"Lahti",1
1902,"Lahti",1
1903,"Lahti",1
1904,"Lahti",1
1905,"Lahti",2
1906,"Lahti",2
1907,"Lahti",2
1908,"Lahti",3
1909,"Lahti",4
1910,"Lahti",3
1911,"Lahti",3
1912,"Lahti",3
1913,"Lahti",3
1914,"Lahti",4
1915,"Lahti",2
1916,"Lahti",2
1917,"Lahti",2
1918,"Lahti",3
1919,"Lahti",2
1920,"Lahti",2
1878,"Kristiina",1
1879,"Kristiina",1
1880,"Kristiina",1
1881,"Kristiina",1
1897,"Kristiina",1
1898,"Kristiina",1
1899,"Kristiina",2
1900,"Kristiina",2
1901,"Kristiina",2
1902,"Kristiina",1
1903,"Kristiina",2
1904,"Kristiina",2
1905,"Kristiina",2
1906,"Kristiina",3
1907,"Kristiina",2
1908,"Kristiina",2
1909,"Kristiina",2
1910,"Kristiina",2
1911,"Kristiina",2
1912,"Kristiina",2
1913,"Kristiina",1
1914,"Kristiina",1
1915,"Kristiina",1
1916,"Kristiina",1
1917,"Kristiina",1
1918,"Kristiina",1
1919,"Kristiina",1
1920,"Kristiina",1
1905,"Jaakkima",1
1906,"Jaakkima",1
1907,"Jaakkima",1
1908,"Jaakkima",1
1909,"Jaakkima",1
1910,"Jaakkima",1
1911,"Jaakkima",1
1912,"Jaakkima",1
1913,"Jaakkima",1
1914,"Jaakkima",1
1915,"Jaakkima",1
1916,"Jaakkima",1
1917,"Jaakkima",1
1918,"Jaakkima",1
1919,"Jaakkima",1
1920,"Jaakkima",1
1829,"Oulu",1
1830,"Oulu",1
1831,"Oulu",1
1832,"Oulu",1
1833,"Oulu",1
1834,"Oulu",1
1835,"Oulu",1
1836,"Oulu",1
1837,"Oulu",1
1838,"Oulu",1
1839,"Oulu",1
1840,"Oulu",1
1841,"Oulu",1
1842,"Oulu",1
1843,"Oulu",1
1844,"Oulu",1
1845,"Oulu",1
1846,"Oulu",1
1847,"Oulu",1
1848,"Oulu",1
1849,"Oulu",1
1850,"Oulu",1
1851,"Oulu",1
1852,"Oulu",1
1853,"Oulu",1
1854,"Oulu",1
1855,"Oulu",1
1856,"Oulu",1
1857,"Oulu",1
1858,"Oulu",1
1859,"Oulu",1
1860,"Oulu",1
1861,"Oulu",1
1862,"Oulu",1
1863,"Oulu",1
1864,"Oulu",1
1865,"Oulu",1
1866,"Oulu",2
1867,"Oulu",2
1868,"Oulu",1
1869,"Oulu",1
1870,"Oulu",1
1871,"Oulu",1
1872,"Oulu",1
1873,"Oulu",1
1874,"Oulu",1
1875,"Oulu",1
1876,"Oulu",2
1877,"Oulu",3
1878,"Oulu",3
1879,"Oulu",4
1880,"Oulu",3
1881,"Oulu",3
1882,"Oulu",3
1883,"Oulu",2
1884,"Oulu",2
1885,"Oulu",2
1886,"Oulu",3
1887,"Oulu",3
1888,"Oulu",2
1889,"Oulu",2
1890,"Oulu",3
1891,"Oulu",3
1892,"Oulu",3
1893,"Oulu",3
1894,"Oulu",3
1895,"Oulu",3
1896,"Oulu",3
1897,"Oulu",3
1898,"Oulu",3
1899,"Oulu",4
1900,"Oulu",4
1901,"Oulu",4
1902,"Oulu",4
1903,"Oulu",4
1904,"Oulu",4
1905,"Oulu",4
1906,"Oulu",5
1907,"Oulu",4
1908,"Oulu",4
1909,"Oulu",4
1910,"Oulu",4
1911,"Oulu",4
1912,"Oulu",4
1913,"Oulu",4
1914,"Oulu",4
1915,"Oulu",4
1916,"Oulu",4
1917,"Oulu",5
1918,"Oulu",4
1919,"Oulu",4
1920,"Oulu",4
1906,"Seinäjoki",1
1907,"Seinäjoki",1
1908,"Seinäjoki",1
1909,"Seinäjoki",1
1910,"Seinäjoki",1
1911,"Seinäjoki",1
1912,"Seinäjoki",1
1913,"Seinäjoki",1
1914,"Seinäjoki",1
1915,"Seinäjoki",1
1916,"Seinäjoki",1
1917,"Seinäjoki",1
1918,"Seinäjoki",1
1919,"Seinäjoki",2
1920,"Seinäjoki",2
1916,"Loviisa",1
1917,"Loviisa",1
1918,"Loviisa",1
1919,"Loviisa",1
1920,"Loviisa",1
1861,"Mikkeli",1
1862,"Mikkeli",1
1863,"Mikkeli",2
1864,"Mikkeli",1
1881,"Mikkeli",1
1882,"Mikkeli",1
1883,"Mikkeli",1
1884,"Mikkeli",1
1885,"Mikkeli",1
1886,"Mikkeli",1
1887,"Mikkeli",1
1888,"Mikkeli",2
1889,"Mikkeli",2
1890,"Mikkeli",2
1891,"Mikkeli",2
1892,"Mikkeli",3
1893,"Mikkeli",3
1894,"Mikkeli",2
