"","ISSN","LEVIKKI","start_year","end_year","start_date","end_date","title"
"6330","1457-4616",623,1852,1859,1852-01-01,1859-12-31,"Sanomia Turusta"
"6333","1457-4616",1137,1857,1857,1857-01-01,1857-12-31,"Sanomia Turusta"
"6350","1457-4616",955,1854,1854,1854-01-01,1854-12-31,"Sanomia Turusta"
"6355","1457-4616",1233,1855,1855,1855-01-01,1855-12-31,"Sanomia Turusta"
"6359","1457-4616",1195,1860,1860,1860-01-01,1860-12-31,"Sanomia Turusta"
"6403","1457-4705",3862,1855,1855,1855-01-01,1855-12-31,"Suometar"
"6404","1457-4705",1240,1860,1860,1860-01-01,1860-12-31,"Suometar"
"6405","1457-4705",258,1847,1847,1847-01-12,1847-12-31,"Suometar"
"6406","1457-4705",410,1850,1850,1850-01-01,1850-12-31,"Suometar"
"6440","1457-473X",85,1848,1848,1848-02-05,1848-10-28,"Suomi"
"6441","1457-473X",168,1847,1847,1847-01-31,1847-12-11,"Suomi"
"6442","1457-4748",247,1829,1829,1829-01-01,1829-12-31,"Tidningar ifrån Helsingfors"
"6443","1457-4748",113,1830,1830,1830-01-01,1830-12-31,"Tidningar ifrån Helsingfors"
"6444","1457-4799",480,1814,1814,1814-01-01,1814-12-31,"Åbo Allmänna Tidning"
"6445","1457-4799",507,1816,1816,1816-01-01,1816-12-31,"Åbo Allmänna Tidning"
"6446","1457-4799",486,1815,1815,1815-01-01,1815-12-31,"Åbo Allmänna Tidning"
"6447","1457-4799",374,1810,1812,1810-01-02,1812-12-31,"Åbo Allmänna Tidning"
"6448","1457-4799",430,1813,1813,1813-01-01,1813-12-31,"Åbo Allmänna Tidning"
"6449","1457-4802",238,1835,1835,1835-01-01,1835-12-31,"Åbo Tidningar"
"6450","1457-4802",276,1830,1830,1830-01-01,1830-12-31,"Åbo Tidningar"
"6451","1457-4802",364,1845,1845,1845-01-01,1845-12-31,"Åbo Tidningar"
"6452","1457-4802",297,1825,1825,1825-01-01,1825-12-31,"Åbo Tidningar"
"6453","1457-4802",499,1855,1855,1855-01-01,1855-12-31,"Åbo Tidningar"
"6454","1457-4802",601,1850,1850,1850-01-01,1850-12-31,"Åbo Tidningar"
"6455","1457-4802",408,1840,1840,1840-01-01,1840-12-31,"Åbo Tidningar"
"6456","1457-4802",281,1820,1820,1820-01-05,1820-12-31,"Åbo Tidningar"
"6461","1457-4837",976,1859,1859,1859-01-01,1859-12-31,"Wiborg"
"6462","1457-4837",525,1855,1855,1855-01-02,1855-12-31,"Wiborg"
"6463","1457-4837",1409,1856,1856,1856-01-01,1856-12-31,"Wiborg"
"6464","1457-4837",1486,1857,1857,1857-01-01,1857-12-31,"Wiborg"
"6465","1457-4837",1131,1858,1858,1858-01-01,1858-12-31,"Wiborg"
"6466","1457-4853",274,1854,1854,1854-02-01,1854-12-31,"Wiborgs Tidning"
"6471","1457-4888",94,1831,1831,1831-01-01,1831-12-31,"Turun Wiikko-Sanomat"
"6472","1457-4888",1625,1820,1820,1820-01-08,1820-12-31,"Turun Wiikko-Sanomat"
"6473","1457-4888",249,1827,1827,1827-01-01,1827-12-31,"Turun Wiikko-Sanomat"
"6474","1457-4888",332,1824,1824,1824-01-01,1824-12-31,"Turun Wiikko-Sanomat"
