"ISSN","PAANIMEKE","AINYLEISMAARE","JULKAISUMAA","KIELI","KOKO","KORKEUS_CM","LEVEYS_CM","KUSTANTAJA","TEKSTITYYPPI","start_date","end_date","start_year","end_year","KAUPUNKI_NORM","levikki_1800","levikki_1801","levikki_1802","levikki_1803","levikki_1804","levikki_1805","levikki_1806","levikki_1807","levikki_1808","levikki_1809","levikki_1810","levikki_1811","levikki_1812","levikki_1813","levikki_1814","levikki_1815","levikki_1816","levikki_1817","levikki_1818","levikki_1819","levikki_1820","levikki_1821","levikki_1822","levikki_1823","levikki_1824","levikki_1825","levikki_1826","levikki_1827","levikki_1828","levikki_1829","levikki_1830","levikki_1831","levikki_1832","levikki_1833","levikki_1834","levikki_1835","levikki_1836","levikki_1837","levikki_1838","levikki_1839","levikki_1840","levikki_1841","levikki_1842","levikki_1843","levikki_1844","levikki_1845","levikki_1846","levikki_1847","levikki_1848","levikki_1849","levikki_1850","levikki_1851","levikki_1852","levikki_1853","levikki_1854","levikki_1855","levikki_1856","levikki_1857","levikki_1858","levikki_1859","levikki_1860"
"1457-4594","Aamurusko","AIK","FI","fin","",,,"Johannes Alfthan","FAN",1857-01-01,1859-12-31,1857,1859,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
"0788-6934","Acta Societatis scientiarum Fennicae","AIK","fi","mul","",,,"Societas scientiarum Fennica","",1842-01-01,1926-12-31,1842,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00087","Allmän litteraturtidning  utgifven af ett sällskap i Åbo","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1803-12-31,1500,1803,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0787-3999","Almanack för året ... efter vår Frälsares Kristi födelse, till Helsingfors horisont","AIK","fi","swe","",,,"Helsingfors universitet","",1832-01-01,1974-12-31,1832,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0787-4014","Almanakka vuodeksi ... jälkeen Vapahtajamme Kristuksen syntymän, Helsingin horisontin mukaan","AIK","fi","fin","",,,"Helsingin yliopisto","",1832-01-01,1974-12-31,1832,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0787-4006","Almanakka vuodeksi ... jälkeen Vapahtajamme Kristuksen syntymän, Oulun horisontin mukaan","AIK","fi","fin","",,,"Helsingin yliopisto","",1832-01-01,1974-12-31,1832,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00147","Barnvännen","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1863-12-31,1500,1863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00148","Barnvännen","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1878-12-31,1500,1878,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0788-6918","Bidrag till Finlands naturkännedom, etnografi och statistik","AIK","fi","swe","",,,"Finska Vetenskaps-Societen","",1857-01-01,1864-12-31,1857,1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"0067-8481","Bidrag till kännedom av Finlands natur och folk","AIK","fi","mul","",,,"Finska vetenskaps-societeten","",1858-01-01,2020-01-01,1858,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
